[{'num_units': 128, 'dropout_rate': 0.0, 'optimizer': 'Adamax', 'n_epochs': 10, 'batch_size': 100, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800}, (0.5491071343421936, 0.1801498383283615)]
[{'num_units': 32, 'dropout_rate': 0.6, 'optimizer': 'Adamax', 'n_epochs': 5, 'batch_size': 500, 'class_weight_binary': 1, 'pool_size': 2, 'n_augm': 1800}, (0.47857141494750977, 0.1847221851348877)]
[{'num_units': 1024, 'dropout_rate': 0.0, 'optimizer': 'adam', 'n_epochs': 20, 'batch_size': 500, 'class_weight_binary': 0, 'pool_size': 2, 'n_augm': 1800}, (0.8946428298950195, 0.0)]
[{'num_units': 128, 'dropout_rate': 0.6, 'optimizer': 'Adamax', 'n_epochs': 20, 'batch_size': 10, 'class_weight_binary': 0, 'pool_size': 4, 'n_augm': 1800}, (0.6517857313156128, 0.1396612524986267)]
[{'num_units': 512, 'dropout_rate': 0.0, 'optimizer': 'RMSprop', 'n_epochs': 5, 'batch_size': 50, 'class_weight_binary': 0, 'pool_size': 2, 'n_augm': 200}, (0.8982142806053162, 0.0)]
[{'num_units': 32, 'dropout_rate': 0.3, 'optimizer': 'sgd', 'n_epochs': 5, 'batch_size': 50, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200}, (0.7714285850524902, 0.117373988032341)]
[{'num_units': 512, 'dropout_rate': 0.3, 'optimizer': 'sgd', 'n_epochs': 20, 'batch_size': 10, 'class_weight_binary': 0, 'pool_size': 2, 'n_augm': 200}, (0.8919642567634583, 0.010416665114462376)]
[{'num_units': 512, 'dropout_rate': 0.6, 'optimizer': 'adam', 'n_epochs': 10, 'batch_size': 100, 'class_weight_binary': 0, 'pool_size': 2, 'n_augm': 200}, (0.8866071701049805, 0.015151512809097767)]
[{'num_units': 1024, 'dropout_rate': 0.3, 'optimizer': 'Adamax', 'n_epochs': 5, 'batch_size': 500, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200}, (0.1116071417927742, 0.1894228607416153)]
[{'num_units': 128, 'dropout_rate': 0.6, 'optimizer': 'Adamax', 'n_epochs': 5, 'batch_size': 500, 'class_weight_binary': 0, 'pool_size': 4, 'n_augm': 1800}, (0.5687500238418579, 0.15612399578094482)]
[{'num_units': 1024, 'dropout_rate': 0.3, 'optimizer': 'adam', 'n_epochs': 20, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 2, 'n_augm': 200}, (0.5160714387893677, 0.16585494577884674)]
[{'num_units': 1024, 'dropout_rate': 0.9, 'optimizer': 'RMSprop', 'n_epochs': 5, 'batch_size': 100, 'class_weight_binary': 0, 'pool_size': 2, 'n_augm': 200}, (0.8982142806053162, 0.0)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'Adamax', 'n_epochs': 20, 'batch_size': 50, 'class_weight_binary': 0, 'pool_size': 2, 'n_augm': 1800}, (0.8821428418159485, 0.06956521421670914)]
[{'num_units': 32, 'dropout_rate': 0.0, 'optimizer': 'RMSprop', 'n_epochs': 5, 'batch_size': 100, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200}, (0.643750011920929, 0.19852344691753387)]
[{'num_units': 128, 'dropout_rate': 0.6, 'optimizer': 'Adamax', 'n_epochs': 5, 'batch_size': 10, 'class_weight_binary': 0, 'pool_size': 2, 'n_augm': 200}, (0.893750011920929, 0.008928569965064526)]
[{'num_units': 1024, 'dropout_rate': 0.9, 'optimizer': 'RMSprop', 'n_epochs': 5, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800}, (0.7223214507102966, 0.12227890640497208)]
[{'num_units': 1024, 'dropout_rate': 0.6, 'optimizer': 'adam', 'n_epochs': 20, 'batch_size': 100, 'class_weight_binary': 1, 'pool_size': 2, 'n_augm': 1800}, (0.8410714268684387, 0.1579919457435608)]
[{'num_units': 32, 'dropout_rate': 0.0, 'optimizer': 'Adamax', 'n_epochs': 10, 'batch_size': 50, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200}, (0.4758928716182709, 0.20486192405223846)]
[{'num_units': 1024, 'dropout_rate': 0.0, 'optimizer': 'sgd', 'n_epochs': 5, 'batch_size': 10, 'class_weight_binary': 0, 'pool_size': 4, 'n_augm': 200}, (0.8946428298950195, 0.011904760263860226)]
