[{'num_units': 256, 'filters': 32, 'dropout_rate': 0.9, 'optimizer': 'RMSprop', 'n_epochs': 5, 'batch_size': 50, 'class_weight_binary': 1, 'pool_size': 3, 'n_augm': 300}, (0.23749999701976776, 0.18780729174613953)]
[{'num_units': 256, 'filters': 32, 'dropout_rate': 0.3, 'optimizer': 'Adamax', 'n_epochs': 10, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 300}, (0.5142857432365417, 0.15883229672908783)]
[{'num_units': 128, 'filters': 64, 'dropout_rate': 0.3, 'optimizer': 'Adamax', 'n_epochs': 10, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 2, 'n_augm': 300}, (0.4303571283817291, 0.1821879893541336)]
[{'num_units': 512, 'filters': 32, 'dropout_rate': 0.6, 'optimizer': 'adam', 'n_epochs': 20, 'batch_size': 10, 'class_weight_binary': 0, 'pool_size': 5, 'n_augm': 300}, (0.8982142806053162, 0.0)]
[{'num_units': 128, 'filters': 64, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 20, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 3, 'n_augm': 200}, (0.8732143044471741, 0.01636904664337635)]
[{'num_units': 256, 'filters': 64, 'dropout_rate': 0.0, 'optimizer': 'adam', 'n_epochs': 20, 'batch_size': 10, 'class_weight_binary': 0, 'pool_size': 6, 'n_augm': 400}, (0.8616071343421936, 0.06011904031038284)]
[{'num_units': 128, 'filters': 64, 'dropout_rate': 0.6, 'optimizer': 'Adamax', 'n_epochs': 10, 'batch_size': 10, 'class_weight_binary': 0, 'pool_size': 3, 'n_augm': 300}, (0.7401785850524902, 0.09262329339981079)]
[{'num_units': 128, 'filters': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 5, 'batch_size': 50, 'class_weight_binary': 0, 'pool_size': 5, 'n_augm': 200}, (0.5821428298950195, 0.1739816665649414)]
[{'num_units': 256, 'filters': 32, 'dropout_rate': 0.0, 'optimizer': 'RMSprop', 'n_epochs': 10, 'batch_size': 50, 'class_weight_binary': 0, 'pool_size': 4, 'n_augm': 300}, (0.5651785731315613, 0.17845004796981812)]
[{'num_units': 512, 'filters': 32, 'dropout_rate': 0.9, 'optimizer': 'Adamax', 'n_epochs': 5, 'batch_size': 10, 'class_weight_binary': 0, 'pool_size': 2, 'n_augm': 400}, (0.12589286267757416, 0.17195458710193634)]
[{'num_units': 512, 'filters': 32, 'dropout_rate': 0.6, 'optimizer': 'RMSprop', 'n_epochs': 10, 'batch_size': 10, 'class_weight_binary': 0, 'pool_size': 6, 'n_augm': 200}, (0.5321428775787354, 0.16462066769599915)]
[{'num_units': 128, 'filters': 64, 'dropout_rate': 0.6, 'optimizer': 'adam', 'n_epochs': 10, 'batch_size': 50, 'class_weight_binary': 0, 'pool_size': 4, 'n_augm': 200}, (0.8955357074737549, 0.030779844149947166)]
[{'num_units': 256, 'filters': 32, 'dropout_rate': 0.0, 'optimizer': 'RMSprop', 'n_epochs': 10, 'batch_size': 50, 'class_weight_binary': 1, 'pool_size': 2, 'n_augm': 400}, (0.7267857193946838, 0.15225939452648163)]
[{'num_units': 512, 'filters': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 10, 'batch_size': 20, 'class_weight_binary': 0, 'pool_size': 5, 'n_augm': 200}, (0.7857142686843872, 0.12848639488220215)]
[{'num_units': 128, 'filters': 64, 'dropout_rate': 0.3, 'optimizer': 'RMSprop', 'n_epochs': 20, 'batch_size': 50, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 400}, (0.5839285850524902, 0.1754148304462433)]
[{'num_units': 256, 'filters': 32, 'dropout_rate': 0.3, 'optimizer': 'adam', 'n_epochs': 10, 'batch_size': 20, 'class_weight_binary': 0, 'pool_size': 5, 'n_augm': 400}, (0.7035714387893677, 0.14697174727916718)]
[{'num_units': 128, 'filters': 32, 'dropout_rate': 0.6, 'optimizer': 'Adamax', 'n_epochs': 20, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 2, 'n_augm': 400}, (0.6821428537368774, 0.1483946591615677)]
[{'num_units': 256, 'filters': 64, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 5, 'batch_size': 50, 'class_weight_binary': 1, 'pool_size': 6, 'n_augm': 200}, (0.16696429252624512, 0.17665252089500427)]
[{'num_units': 512, 'filters': 32, 'dropout_rate': 0.9, 'optimizer': 'Adamax', 'n_epochs': 5, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 3, 'n_augm': 400}, (0.10535714030265808, 0.16981522738933563)]
[{'num_units': 256, 'filters': 64, 'dropout_rate': 0.0, 'optimizer': 'RMSprop', 'n_epochs': 10, 'batch_size': 20, 'class_weight_binary': 0, 'pool_size': 5, 'n_augm': 200}, (0.8205357193946838, 0.11870747804641724)]
[{'num_units': 256, 'filters': 32, 'dropout_rate': 0.3, 'optimizer': 'Adamax', 'n_epochs': 5, 'batch_size': 20, 'class_weight_binary': 0, 'pool_size': 2, 'n_augm': 300}, (0.8767856955528259, 0.04999999329447746)]
[{'num_units': 256, 'filters': 32, 'dropout_rate': 0.9, 'optimizer': 'RMSprop', 'n_epochs': 5, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 3, 'n_augm': 300}, (0.10178571194410324, 0.1720183938741684)]
[{'num_units': 512, 'filters': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 20, 'batch_size': 50, 'class_weight_binary': 0, 'pool_size': 2, 'n_augm': 300}, (0.34910714626312256, 0.1797131448984146)]
[{'num_units': 512, 'filters': 64, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 20, 'batch_size': 50, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 300}, (0.5035714507102966, 0.1773364096879959)]
