[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 0, 'k_size': 5, 'stride_size': 2}, (0.7705357074737549, 0.1508786827325821, 0.5331265926361084, 0.18273808062076569, 0.1507653146982193)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200, 'k_size': 7, 'stride_size': 1}, (0.14196428656578064, 0.18890736997127533, 0.5127855539321899, 0.8491071462631226, 0.10884164273738861)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 0, 'k_size': 7, 'stride_size': 3}, (0.8098214268684387, 0.056235820055007935, 0.5206096172332764, 0.08452380448579788, 0.058035708963871)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 7, 'stride_size': 3}, (0.8928571343421936, 0.0, 0.5, 0.0, 0.0)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 0, 'k_size': 5, 'stride_size': 2}, (0.7080357074737549, 0.15156280994415283, 0.5386840105056763, 0.27589282393455505, 0.1320011168718338)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200, 'k_size': 7, 'stride_size': 3}, (0.42946428060531616, 0.19343748688697815, 0.5488754510879517, 0.5714285373687744, 0.12003088742494583)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 30, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 7, 'stride_size': 2}, (0.8928571343421936, 0.0, 0.5009989738464355, 0.0, 0.0)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 30, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200, 'k_size': 3, 'stride_size': 3}, (0.1071428582072258, 0.18195320665836334, 0.496814101934433, 0.908991277217865, 0.10311555862426758)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 0, 'k_size': 5, 'stride_size': 3}, (0.34732142090797424, 0.1753639429807663, 0.5291053056716919, 0.4758928418159485, 0.11355229467153549)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 30, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 0, 'k_size': 7, 'stride_size': 1}, (0.8598214387893677, 0.04684628173708916, 0.5324171781539917, 0.04035088047385216, 0.06578947603702545)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200, 'k_size': 3, 'stride_size': 3}, (0.11339285969734192, 0.1773618459701538, 0.5039960145950317, 0.6339285969734192, 0.10684525221586227)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 30, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 7, 'stride_size': 1}, (0.7562500238418579, 0.15012836456298828, 0.5077652931213379, 0.23684212565422058, 0.11988304555416107)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 7, 'stride_size': 2}, (0.6544643044471741, 0.11798469722270966, 0.5443086624145508, 0.17470239102840424, 0.10029761493206024)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 3, 'stride_size': 1}, (0.893750011920929, 0.0, 0.5, 0.0, 0.0)]
[{'num_units': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 7, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 1800, 'k_size': 3, 'stride_size': 3}, (0.893750011920929, 0.0, 0.5, 0.0, 0.0)]
